PING 10.0.0.2 (10.0.0.2) 56(84) bytes of data.
64 bytes from 10.0.0.2: icmp_seq=261 ttl=64 time=10.5 ms
64 bytes from 10.0.0.2: icmp_seq=262 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=263 ttl=64 time=8.33 ms
64 bytes from 10.0.0.2: icmp_seq=264 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=266 ttl=64 time=10.4 ms
64 bytes from 10.0.0.2: icmp_seq=267 ttl=64 time=11.3 ms
64 bytes from 10.0.0.2: icmp_seq=269 ttl=64 time=6.17 ms
64 bytes from 10.0.0.2: icmp_seq=271 ttl=64 time=10.9 ms
64 bytes from 10.0.0.2: icmp_seq=272 ttl=64 time=6.30 ms
64 bytes from 10.0.0.2: icmp_seq=274 ttl=64 time=9.42 ms
64 bytes from 10.0.0.2: icmp_seq=275 ttl=64 time=10.2 ms
64 bytes from 10.0.0.2: icmp_seq=276 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=277 ttl=64 time=7.80 ms
64 bytes from 10.0.0.2: icmp_seq=278 ttl=64 time=13.9 ms
64 bytes from 10.0.0.2: icmp_seq=279 ttl=64 time=12.9 ms
64 bytes from 10.0.0.2: icmp_seq=280 ttl=64 time=11.1 ms
64 bytes from 10.0.0.2: icmp_seq=284 ttl=64 time=6.99 ms
64 bytes from 10.0.0.2: icmp_seq=286 ttl=64 time=10.1 ms
64 bytes from 10.0.0.2: icmp_seq=287 ttl=64 time=6.07 ms
64 bytes from 10.0.0.2: icmp_seq=288 ttl=64 time=11.2 ms
64 bytes from 10.0.0.2: icmp_seq=292 ttl=64 time=7.58 ms
64 bytes from 10.0.0.2: icmp_seq=294 ttl=64 time=7.85 ms
64 bytes from 10.0.0.2: icmp_seq=295 ttl=64 time=9.73 ms
64 bytes from 10.0.0.2: icmp_seq=296 ttl=64 time=13.5 ms
64 bytes from 10.0.0.2: icmp_seq=298 ttl=64 time=12.1 ms
64 bytes from 10.0.0.2: icmp_seq=300 ttl=64 time=5.75 ms
64 bytes from 10.0.0.2: icmp_seq=301 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=302 ttl=64 time=8.38 ms
64 bytes from 10.0.0.2: icmp_seq=304 ttl=64 time=9.86 ms
64 bytes from 10.0.0.2: icmp_seq=305 ttl=64 time=7.76 ms
64 bytes from 10.0.0.2: icmp_seq=306 ttl=64 time=13.2 ms
64 bytes from 10.0.0.2: icmp_seq=308 ttl=64 time=9.43 ms
64 bytes from 10.0.0.2: icmp_seq=309 ttl=64 time=11.9 ms
64 bytes from 10.0.0.2: icmp_seq=310 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=311 ttl=64 time=11.5 ms
64 bytes from 10.0.0.2: icmp_seq=312 ttl=64 time=8.11 ms
64 bytes from 10.0.0.2: icmp_seq=315 ttl=64 time=14.3 ms
64 bytes from 10.0.0.2: icmp_seq=316 ttl=64 time=19.3 ms
64 bytes from 10.0.0.2: icmp_seq=317 ttl=64 time=8.85 ms
